epoch,time(s),train_loss,test_loss,test_error(%),gram_auroc
001,00397,2.083826,0.00000,83.76,0.26
004,00406,1.783022,0.00000,79.92,0.16
007,00392,2.072758,0.00000,83.30,0.18
010,00396,1.906623,0.00000,80.00,0.14
013,00393,2.035309,0.00000,78.43,0.10
016,00402,1.559987,0.00000,65.46,0.13
019,00390,2.024587,0.00000,86.51,0.20
022,00386,2.741183,0.00000,86.98,0.06
025,00388,2.212103,0.00000,86.42,0.10
028,00388,2.175527,0.00000,82.06,0.29
031,00402,1.779846,0.00000,75.14,0.19
034,00402,1.602660,0.00000,69.18,0.30
037,00392,1.760851,0.00000,85.05,0.45
040,00394,1.658688,0.00000,78.15,0.31
043,00404,1.474781,0.00000,64.27,0.31
046,00393,1.782768,0.00000,80.49,0.47
049,00398,2.070965,0.00000,83.41,0.13
052,00375,6.241199,0.00000,89.45,0.02
055,00381,2.783479,0.00000,82.95,0.14
058,00398,3.118707,0.00000,83.22,0.21
061,00384,3.517212,0.00000,89.05,0.04
064,00384,4.074814,0.00000,89.95,0.08
067,00387,3.346060,0.00000,89.04,0.19
070,00387,3.468680,0.00000,80.44,0.17
073,00391,1.979855,0.00000,86.29,0.11
076,00389,2.456770,0.00000,84.63,0.14
079,00393,1.943836,0.00000,81.27,0.19
082,00397,2.067434,0.00000,83.10,0.27
085,00396,1.877793,0.00000,78.11,0.25
088,00398,1.907823,0.00000,78.00,0.22
091,00398,1.829958,0.00000,77.29,0.15
094,00395,2.602051,0.00000,79.68,0.14
097,00398,2.110688,0.00000,85.67,0.24
100,00320,1.960115,0.00000,85.67,0.24
