epoch,time(s),train_loss,test_loss,test_error(%),gram_auroc
001,00394,1.597345,0.00000,65.03,0.34
006,00394,1.165639,0.00000,46.54,0.68
011,00394,0.607547,0.00000,23.71,0.95
016,00394,0.673025,0.00000,33.09,0.95
021,00396,0.525298,0.00000,21.10,0.96
026,00391,0.444781,0.00000,20.89,0.98
031,00392,0.877880,0.00000,48.07,0.91
036,00392,0.609499,0.00000,24.87,0.98
041,00391,0.611755,0.00000,23.52,0.98
046,00386,1.745819,0.00000,74.62,0.37
051,00382,0.933821,0.00000,47.41,0.92
056,00388,1.138397,0.00000,53.47,0.92
061,00390,0.681504,0.00000,32.38,0.95
066,00387,1.735848,0.00000,72.70,0.41
071,00377,1.030918,0.00000,55.12,0.83
076,00385,0.759710,0.00000,32.04,0.96
081,00369,1.281157,0.00000,49.48,0.95
086,00372,0.780374,0.00000,36.81,0.93
091,00372,0.572367,0.00000,24.32,0.97
096,00371,0.898991,0.00000,34.82,0.92
101,00370,1.233797,0.00000,57.62,0.76
106,00375,0.856474,0.00000,35.01,0.86
111,00368,1.038712,0.00000,47.04,0.90
116,00375,0.801858,0.00000,33.68,0.88
121,00372,0.947573,0.00000,38.99,0.90
126,00372,0.717617,0.00000,32.14,0.79
131,00370,1.631729,0.00000,61.45,0.51
136,00374,0.958610,0.00000,37.19,0.86
141,00375,0.759342,0.00000,29.07,0.75
146,00374,0.577941,0.00000,22.08,0.78
151,00371,0.746575,0.00000,26.87,0.71
156,00373,0.560060,0.00000,20.91,0.75
161,00377,0.510217,0.00000,22.78,0.72
166,00373,0.787664,0.00000,30.17,0.74
171,00373,0.545597,0.00000,21.19,0.83
176,00373,0.498698,0.00000,19.44,0.76
181,00372,0.590848,0.00000,22.92,0.81
186,00370,0.502402,0.00000,21.78,0.80
191,00373,0.881368,0.00000,32.66,0.67
196,00372,0.472030,0.00000,21.21,0.75
201,00372,0.444909,0.00000,19.57,0.74
206,00375,0.495116,0.00000,19.45,0.75
211,00373,0.399848,0.00000,17.89,0.75
216,00372,0.370636,0.00000,17.02,0.73
221,00360,0.637367,0.00000,82.46,0.43
226,00373,0.413737,0.00000,17.48,0.75
231,00376,0.363623,0.00000,16.70,0.74
236,00370,0.976964,0.00000,37.24,0.76
241,00375,0.481986,0.00000,20.17,0.73
246,00374,0.357882,0.00000,17.35,0.78
251,00375,0.344215,0.00000,18.47,0.73
256,00372,0.290189,0.00000,15.52,0.74
261,00373,0.282516,0.00000,17.54,0.72
266,00373,0.304119,0.00000,17.65,0.69
271,00373,0.210272,0.00000,15.20,0.71
276,00373,0.199311,0.00000,15.24,0.69
281,00374,0.240496,0.00000,14.69,0.68
286,00373,0.220830,0.00000,15.26,0.67
291,00373,0.206738,0.00000,16.00,0.65
296,00374,0.187391,0.00000,15.33,0.66
