epoch,time(s),train_loss,test_loss,test_error(%),gram_auroc
001,00365,2.165484,0.00000,82.89,0.07
004,00379,2.033791,0.00000,78.52,0.13
007,00376,1.873781,0.00000,70.86,0.12
010,00379,1.683127,0.00000,64.29,0.15
013,00386,1.460653,0.00000,54.85,0.17
016,00383,1.326649,0.00000,48.17,0.23
019,00384,1.030029,0.00000,40.50,0.26
022,00385,0.921631,0.00000,33.43,0.37
025,00385,0.751119,0.00000,28.88,0.43
028,00387,0.651773,0.00000,25.89,0.63
031,00383,0.617248,0.00000,23.03,0.67
034,00384,0.633357,0.00000,27.44,0.45
037,00383,0.534150,0.00000,26.93,0.55
040,00383,0.493556,0.00000,22.46,0.67
043,00384,0.481745,0.00000,19.31,0.80
046,00384,0.457127,0.00000,21.80,0.76
049,00382,0.406387,0.00000,18.35,0.80
052,00381,0.410602,0.00000,17.74,0.81
055,00380,0.348645,0.00000,16.47,0.83
058,00381,0.322737,0.00000,16.01,0.85
061,00375,6.323905,0.00000,74.75,0.89
064,00381,0.277664,0.00000,15.14,0.85
067,00382,0.266752,0.00000,14.03,0.85
070,00384,0.280434,0.00000,14.42,0.86
073,00383,0.218497,0.00000,13.58,0.89
076,00381,0.207648,0.00000,13.21,0.90
079,00385,0.168644,0.00000,13.29,0.91
082,00384,0.150627,0.00000,13.08,0.91
085,00383,0.106123,0.00000,12.78,0.91
088,00380,0.077634,0.00000,11.87,0.91
091,00379,0.087838,0.00000,12.04,0.92
094,00380,0.058690,0.00000,12.21,0.93
097,00381,0.064251,0.00000,12.22,0.91
100,00378,0.046858,0.00000,11.84,0.93
